Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity_Avg,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
1/03/2013,Sydney,16.5,20.1,31.8,6.8,0,63,26,26,86,1014.4,1016.2,8,8,19.5,18.7,Yes
2/03/2013,Sydney,17.9,23.1,15.2,6.2,0.1,57,30,31,76,1021,1020.8,7,8,19,20.1,Yes
3/03/2013,Sydney,17.7,25.5,7.4,4.8,6.8,56,30,30,60,1021.6,1020.4,7,6,23.1,24.8,Yes
4/03/2013,Sydney,19.5,26.1,4.4,6.6,9.6,39,22,22,51,1021.9,1020.9,3,3,23.7,25.1,Yes
5/03/2013,Sydney,20.5,26.8,0.2,6,9.1,35,20,28,59,1021.7,1020,6,3,23.1,25.8,No
6/03/2013,Sydney,20.2,27.3,0,7.4,7.6,39,6,24,67,1020.9,1018.4,7,3,21.6,25.6,No
7/03/2013,Sydney,18.6,27.1,0,7.4,11.4,39,11,24,60,1019.9,1017.4,1,1,22.8,26.3,No
8/03/2013,Sydney,20.3,26.8,0,7.8,6.1,31,9,20,62,1022.1,1020.5,4,4,22.4,26.2,No
9/03/2013,Sydney,21.2,27.2,0.6,6.8,6.6,39,13,24,64,1021.3,1019,5,3,22.5,26,No
10/03/2013,Sydney,19.6,28,0,7.4,9.8,35,7,20,58,1020.1,1017.5,5,5,22.3,25.5,No
11/03/2013,Sydney,20.7,27.4,0,7.8,9.3,35,9,26,68,1020.7,1019.6,5,5,23.2,25.4,No
12/03/2013,Sydney,20.4,26.4,0,6.4,xc  ,30,13,19,68,1021,1018.4,7,2,21.9,25.7,No
13/03/2013,Sydney,18.3,28.3,0,5.4,11.1,46,7,26,62,1014.5,1010.9,1,1,21.5,26.3,No
14/03/2013,Sydney,20.8,24.3,0,7.8,1.3,43,7,11,70,1012,1011.2,6,7,23.1,24,No
15/03/2013,Sydney,19.7,25,1,2.6,2,43,24,26,74,1016.1,1015.7,7,7,20.8,22.5,No
16/03/2013,Sydney,20.1,28.7,0.2,4.2,10.7,31,11,20,68,1013.6,1008.9,1,3,23.3,25.8,No
17/03/2013,Sydney,18.7,24,0,6.8,10.8,65,24,31,42,1013,1015,2,1,19.2,23.2,No
18/03/2013,Sydney,13.9,23.8,0,8.6,10.2,41,20,24,50,1021.1,1020.2,2,2,16.8,22.3,No
19/03/2013,Sydney,14.3,24.7,0,6.4,10.7,28,17,19,57,1024.2,1022.8,2,3,16.3,23,No
20/03/2013,Sydney,16.1,24.8,0,5.4,9.9,37,13,20,62,1025.4,1022.3,3,3,19.3,24.5,No
21/03/2013,Sydney,18.5,26.3,0,6.6,8,54,7,26,55,1019.4,1014.3,2,7,21.1,25,No
22/03/2013,Sydney,21.1,31.8,0,6.8,4.4,59,20,20,49,1013.5,1011,6,7,26.1,31.5,No
23/03/2013,Sydney,21.6,27,1,8.4,8.5,30,4,24,73,1016.5,1013.7,4,5,24.2,24,No
24/03/2013,Sydney,20.6,28.4,0.8,4.8,10.5,28,9,17,68,1015.9,1011.5,1,1,22.6,26.4,No
25/03/2013,Sydney,17.9,30,0,7,11,30,19,13,53,1018.3,1017.5,1,2,21.8,29.5,No
26/03/2013,Sydney,20.6,26.9,0,4.4,4.3,39,9,24,78,1019.4,1016.3,7,7,21.7,25.5,No
27/03/2013,Sydney,20.8,27.7,0,5.4,10.8,48,0,22,70,1019,1015.7,1,1,23.4,26.7,No
28/03/2013,Sydney,21.5,33.5,0,7,7.3,37,2,11,53,1016.8,1012.1,1,7,23.4,30.9,No
29/03/2013,Sydney,16.7,22.3,3,8,8.3,44,22,20,48,1018.5,1017.7,1,7,19.2,20.9,Yes
30/03/2013,Sydney,14.8,23.6,0,5.2,10.6,35,13,24,58,1017.6,1012.8,1,6,18.7,22.6,No
31/03/2013,Sydney,17.9,25.4,0,5,7.3,44,13,28,58,1011.4,1010.8,7,6,18.3,24.4,No
1/04/2013,Sydney,17.4,24.3,2.8,6.6,5.8,26,13,17,70,1017.9,1015.5,6,3,18.6,23.5,Yes
2/04/2013,Sydney,16.3,26.2,0,3.8,10.9,39,19,19,54,1016,1013.8,0,2,19,25.4,No
3/04/2013,Sydney,17,18.6,27.4,6.6,0,48,22,20,84,1020.9,1021.7,7,8,17,18,Yes
4/04/2013,Sydney,15.7,20.9,61.4,5,0.4,31,17,9,91,1028.2,1027.8,8,8,16.6,17.7,Yes
5/04/2013,Sydney,15.6,23.6,18.4,0.8,4.3,24,9,7,69,1030.4,1028.4,7,6,17.5,22.9,Yes
6/04/2013,Sydney,15.6,20.6,2.4,3.6,1.6,31,11,6,84,1028,1025.2,5,7,17,18.8,Yes
7/04/2013,Sydney,14.2,22.7,3.8,2.4,7,22,9,15,68,1024.5,1021.6,3,3,19,22.2,Yes
8/04/2013,Sydney,14.6,24.2,2,3.4,8.3,26,15,17,67,1025.3,1023.9,1,6,18.4,22.5,Yes
9/04/2013,Sydney,15.6,22,5.2,2.4,3.6,24,15,6,82,1026.7,1024.3,6,3,16.7,20.7,Yes
10/04/2013,Sydney,14.4,24.1,2,2.2,10.4,30,13,20,65,1024.8,1021.3,1,2,18.9,23,Yes
11/04/2013,Sydney,15.2,25.3,0,4.6,10.8,26,13,17,57,1023.5,1021.6,1,1,19,24.7,No
12/04/2013,Sydney,15.6,26,0,4.4,10.3,31,13,19,60,1025.9,1022.8,1,1,19.7,24.2,No
13/04/2013,Sydney,15.7,25.4,0,4.8,10.7,35,17,22,63,1021.5,1016.4,1,1,19.6,23.7,No
14/04/2013,Sydney,16.1,27.7,0,5.4,10.6,24,17,13,63,1013.9,1010.9,2,2,19,25.2,No
15/04/2013,Sydney,17.4,27.9,0,5.8,5.7,37,9,11,62,1010.1,1007.4,7,4,19,26.2,No
16/04/2013,Sydney,16.9,22,7,3.2,4.4,41,17,20,79,1015,1013.5,8,6,17.2,21.4,Yes
17/04/2013,Sydney,14.2,23.6,0,4,7.7,30,13,17,70,1016.7,1014,1,7,17.7,21.9,No
18/04/2013,Sydney,15.4,24.5,0.2,2.6,9.1,41,15,26,73,1014.7,1012.5,1,6,18.5,21.4,No
19/04/2013,Sydney,13.3,20.2,0.4,4.6,10.5,65,20,35,45,1014.7,1012.8,2,4,15.3,20,No
20/04/2013,Sydney,12.2,19,33.6,NA,1.2,65,17,30,80,1013.7,1014.1,8,7,14.6,17.5,Yes
21/04/2013,Sydney,10.9,22.2,32.8,2.8,9.7,33,15,15,64,1016.1,1012.4,1,1,14.4,20,Yes
22/04/2013,Sydney,13.9,24.7,0.2,2.6,8.1,41,13,11,62,1011,1006.9,6,2,14.6,24.2,No
23/04/2013,Sydney,12.7,25.3,0.2,3.6,10.4,43,15,15,50,1012.7,1011.7,1,2,16.9,23.4,No
24/04/2013,Sydney,12.3,23.8,0,3.6,10.8,35,20,13,45,1018.9,1015.9,1,1,15.5,23.4,No
25/04/2013,Sydney,12.5,23.2,0,4.8,10.1,33,20,17,49,1021.8,1019.5,2,1,15.1,20.3,No
26/04/2013,Sydney,14,27.2,0,3.4,10.7,41,17,13,43,1022.6,1019.1,1,0,17.3,25.9,No
27/04/2013,Sydney,14,26.3,0,4.4,9.5,26,17,19,58,1022,1017.7,1,1,17.2,22.6,No
28/04/2013,Sydney,14.4,28.7,0,4.6,10.1,28,7,15,44,1019,1016,1,1,18.6,28.1,No
29/04/2013,Sydney,15.9,26.5,0,6.2,9.3,26,13,13,66,1022.4,1020.9,1,3,18.5,22.6,No
30/04/2013,Sydney,18.4,22.7,0,2.8,4,35,15,19,76,1025.6,1022.4,7,7,19.7,20.5,No
1/05/2013,Sydney,16.9,25,0,1.2,7.4,37,15,17,74,1018.7,1014.3,7,5,18.1,24.2,No
2/05/2013,Sydney,14.4,20.3,0,5.6,7.4,46,13,20,52,1025.3,1025.2,1,4,15.1,18.7,No
3/05/2013,Sydney,11.1,22.9,0,3,10.2,31,19,19,62,1026.7,1020.5,1,7,14,20.9,No
4/05/2013,Sydney,14,26.4,0,4.4,6.2,56,19,37,53,1017.9,1018.5,7,3,17.4,20.2,No
5/05/2013,Sydney,12.7,20.1,0,6.4,9.1,37,15,7,47,1025.1,1022.1,6,1,14.5,19.7,No
6/05/2013,Sydney,10.8,20.1,0,3.4,8.2,35,13,17,64,1026.6,1024.5,3,7,14.3,19.2,No
7/05/2013,Sydney,11.7,21.5,0,3,8.8,31,13,19,66,1028.7,1027.1,2,6,15.2,19.9,No
8/05/2013,Sydney,12.4,21.6,0,3.4,5.3,22,13,9,66,1031.1,1028.1,7,4,15.2,21.2,No
9/05/2013,Sydney,12.1,23.2,0,1.8,10.2,24,17,13,67,1030.7,1027.4,1,1,14.7,22,No
10/05/2013,Sydney,12.5,23.5,0,3.6,10,26,20,13,65,1030.8,1028.4,1,1,14.3,22.9,No
11/05/2013,Sydney,13,22.1,0,2,4.3,31,22,22,73,1030.2,1027.5,5,6,15.2,20.8,No
12/05/2013,Sydney,14,22.1,0,3.6,7,28,13,13,76,1027.2,1022.7,8,2,14.3,21.4,No
13/05/2013,Sydney,13.7,22.8,0,2,1.8,28,9,11,71,1018.9,1014.2,7,8,14.4,21.9,No
14/05/2013,Sydney,14.2,21.3,0,2.4,6.9,41,20,13,46,1013.8,1011.1,7,6,14.2,20,No
15/05/2013,Sydney,9.2,20.6,0.2,2.8,9.8,46,15,28,47,1013.2,1009.6,1,3,13.6,20.1,No
16/05/2013,Sydney,13.6,20.6,0,5.4,8.3,50,22,31,46,1010.3,1007.3,2,3,16.9,19.4,No
17/05/2013,Sydney,12.2,19.6,0,4.6,10.1,57,24,28,42,1011.9,1010.4,1,1,14.7,18.6,No
18/05/2013,Sydney,11.1,20.6,0,3.8,10.1,41,17,22,42,1014.7,1011.8,1,1,13.2,19.1,No
19/05/2013,Sydney,9.8,20.2,0,3.6,9.1,39,20,20,42,1016.8,1014.1,2,1,12.1,19,No
20/05/2013,Sydney,10.1,20.7,0,4,8.5,44,19,22,49,1018.7,1014.7,4,3,11.3,19.6,No
21/05/2013,Sydney,10.1,22.5,0,4,9.1,54,22,20,44,1015.3,1012.3,3,7,15.4,21.8,No
22/05/2013,Sydney,9.4,16,0,2.2,1.3,31,17,20,75,1015,1010.1,6,8,11.2,14.5,No
23/05/2013,Sydney,10.6,17.4,27.2,5.2,0.7,48,11,22,82,1013.7,1012.7,7,6,13.4,16.4,Yes
24/05/2013,Sydney,12.7,20.6,30.6,2.4,5.8,48,28,24,68,1019.1,1017.9,7,7,13,20.1,Yes
25/05/2013,Sydney,10.6,21.3,20,3.8,9.4,NA,22,15,67,1023.7,1022.1,1,1,12.2,20.8,Yes
26/05/2013,Sydney,9.5,21.3,0,1.8,10.1,30,20,4,58,1025.7,1023,1,1,11.3,20.2,No
27/05/2013,Sydney,10.6,20.2,3.4,3.2,7.1,41,22,24,71,1029.4,1028.2,5,5,11.6,19.4,Yes
28/05/2013,Sydney,11.6,19.3,28.6,1.2,3.2,30,11,15,85,1032.8,1030.2,8,8,12.9,17.8,Yes
29/05/2013,Sydney,11.3,21.1,0.2,2,4.9,20,15,15,77,1031.4,1027.8,8,3,12.3,20.6,No
30/05/2013,Sydney,11.7,21.4,0,2.6,5.7,24,15,7,79,1029.3,1025.9,4,5,12.8,20,No
31/05/2013,Sydney,11.8,24.9,0,1.6,9.1,NA,9,13,62,1028,1023.8,1,5,13.9,24.1,No
1/06/2013,Sydney,13.9,21.2,0,4,3,52,11,17,62,1019.4,1014.1,6,7,18.7,19.9,No
2/06/2013,Sydney,14.4,15.8,14.8,3,1.8,81,20,24,80,1006.1,1009.8,8,7,14.7,14,Yes
3/06/2013,Sydney,9.9,19.5,34.4,4.6,9.7,NA,24,13,51,1020.5,1018.9,1,1,11.7,19.1,Yes
4/06/2013,Sydney,10.3,21.1,0,3.6,9.3,41,24,9,60,1026.3,1023.8,3,1,12.2,20.7,No
5/06/2013,Sydney,10.5,19.3,0,3.4,2.3,26,7,13,79,1025.8,1021.6,8,7,11.7,18.3,No
6/06/2013,Sydney,11.7,20.1,0,1.6,2.3,26,15,6,60,1022.8,1020,7,8,14.9,19.2,No
7/06/2013,Sydney,14.9,22.2,0,2,1.8,41,20,15,63,1019.8,1018.5,8,6,18.5,21.6,No
8/06/2013,Sydney,13.5,19.2,0,3,1.5,43,19,11,63,1030.7,1028.6,7,7,14.2,17.5,No
9/06/2013,Sydney,11,18.9,0,7,6.9,26,13,15,72,1028.6,1024.3,4,7,12.6,18.4,No
10/06/2013,Sydney,10.5,21.5,0,1.4,3.9,28,13,17,79,1021.6,1018.7,2,8,11.1,18.5,No
11/06/2013,Sydney,10.5,19.6,0.8,0.2,8.5,30,17,9,74,1021,1017.6,3,6,11.3,18.4,No
12/06/2013,Sydney,10.4,16,0,2,1,41,13,19,88,1015.1,1009.7,7,6,11.6,15.8,No
13/06/2013,Sydney,10.6,20.9,8.4,0.6,8.6,48,15,20,67,1007,1004.3,3,3,13.4,20.1,Yes
14/06/2013,Sydney,11.7,20.1,0,3.6,7,46,17,22,55,1005.2,1002.9,2,6,14,18.5,No
15/06/2013,Sydney,13,17.6,0,4,5,43,24,11,52,1009.9,1009.9,4,7,13.8,17.3,No
16/06/2013,Sydney,9.7,19.1,0,3.2,9.5,41,24,15,55,1014.4,1011.6,2,4,11.8,16.6,No
17/06/2013,Sydney,8.5,17.7,0,3.8,3.8,44,26,17,61,1009.5,1008.3,6,6,11,15.7,No
18/06/2013,Sydney,8,19.2,0,1.6,8,43,26,17,64,1013.5,1012.2,1,2,9.6,16.1,No
19/06/2013,Sydney,8.7,16.1,15.6,3.2,0,52,24,26,73,1021.7,1021.3,6,7,10.5,14.3,Yes
20/06/2013,Sydney,8.7,16.6,1.4,2.8,7.2,39,26,20,64,1024.2,1021,3,6,9.9,15.6,Yes
21/06/2013,Sydney,8,17.3,0,2,8.1,31,19,15,69,1021.6,1019.1,5,2,9.6,16.1,No
22/06/2013,Sydney,7.7,13.5,1.2,2.4,0,39,26,17,85,1024.9,1024.2,7,7,7.9,11.9,Yes
23/06/2013,Sydney,7.6,13.9,56.2,0.4,0.2,41,7,19,92,1028.5,1026.7,7,7,11,11.9,Yes
24/06/2013,Sydney,9.6,13.8,53.4,0.2,0.1,39,17,11,84,1021.7,1017.9,7,7,10.2,13.1,Yes
25/06/2013,Sydney,10,16.7,5,2.4,0.2,41,17,9,92,1016.3,1014.8,8,6,10.6,13.8,Yes
26/06/2013,Sydney,10.5,19.8,15.6,1.4,4.3,52,31,20,74,1019.8,1020,7,7,16.7,19.2,Yes
27/06/2013,Sydney,12.8,18.8,0.8,3.4,2.4,26,15,19,79,1022.9,1020.7,7,7,13.4,17.6,No
28/06/2013,Sydney,12.9,16.1,16.8,2.8,0,41,9,15,88,1023.7,1022.5,7,7,13.3,16,Yes
29/06/2013,Sydney,12.7,14.2,41,3.2,0,28,9,9,89,1024.8,1023,8,8,13.6,13.2,Yes
30/06/2013,Sydney,11.3,17.1,51,2,2.2,37,11,9,88,1025.7,1023.5,7,5,12.4,16.6,Yes
1/07/2013,Sydney,8.8,20.1,9.8,0.8,9.8,26,20,7,73,1024.4,1021.9,1,1,10.3,18.5,Yes
2/07/2013,Sydney,8.8,19.9,0,2.2,9.8,33,20,4,62,1024.9,1021,1,2,10.2,18.9,No
3/07/2013,Sydney,8.1,19.8,0,2.2,9.5,26,19,13,68,1024.4,1020.8,1,0,9.5,19.2,No
4/07/2013,Sydney,8.5,23.4,0,2.6,9.8,43,17,22,48,1016.3,1011.5,0,1,14.7,22.6,No
5/07/2013,Sydney,14.7,19.5,0,4,9.7,65,20,33,42,1010.9,1010.8,1,1,16,18.5,No
6/07/2013,Sydney,7.8,17.4,0,4.2,9.8,37,13,19,44,1020.1,1018.1,0,0,10.2,17.1,No
7/07/2013,Sydney,7.4,19.1,0,4,9.5,35,19,11,49,1026.9,1025.6,1,1,10,17.7,No
8/07/2013,Sydney,7.4,19.2,0,2.2,9.1,33,19,17,52,1031.7,1029.9,0,3,9.3,17.7,No
9/07/2013,Sydney,8.7,13.6,1.6,3,1,30,19,17,84,1035,1033.6,5,7,9.3,11.8,Yes
10/07/2013,Sydney,8.9,15.9,8,1.2,2.7,24,17,13,78,1033.5,1031.6,7,6,10.3,14.8,Yes
11/07/2013,Sydney,8.2,18.4,0,1.2,8.2,30,20,9,77,1035.3,1032.2,2,5,9.1,17,No
12/07/2013,Sydney,8.3,20.2,0.2,1.2,8.4,30,17,6,69,1031.1,1027.1,1,1,9.6,19.2,No
13/07/2013,Sydney,8.3,17.4,0,3,5,26,15,2,73,1029.2,1027.3,7,6,10.9,17.3,No
14/07/2013,Sydney,8.9,18.4,0,1,8.5,24,11,15,74,1028.4,1025.4,4,8,10.7,17.5,No
15/07/2013,Sydney,10.7,22,0.2,3.6,1.7,33,4,13,68,1024.6,1021.9,7,7,15.4,19.4,No
16/07/2013,Sydney,14.4,21.6,1.4,0.2,3.4,26,9,13,78,1024.7,1022.1,7,4,15.1,19.6,Yes
17/07/2013,Sydney,13,24.3,4.8,1.8,8.7,22,9,9,67,1023.8,1020.6,4,3,14.5,23,Yes
18/07/2013,Sydney,13.3,22.6,0,2.4,3.9,30,7,13,79,1022.9,1019.4,7,7,15.1,19.4,No
19/07/2013,Sydney,15,20.4,0,3.2,1.6,57,15,17,70,1015.7,1011.7,4,7,18.1,17.5,No
20/07/2013,Sydney,14.5,20.4,0.8,2.4,8.9,48,17,26,52,1009.3,1005.4,2,2,16.5,19.8,No
21/07/2013,Sydney,8.5,16.3,0.2,6.4,10.1,54,24,31,39,1016,1013.2,1,1,11,16,No
22/07/2013,Sydney,8.7,17.2,0,3.8,9.9,54,17,26,41,1019.4,1016.3,2,2,12.2,16.6,No
23/07/2013,Sydney,7.1,17.7,0,3.2,8,44,17,19,51,1019.9,1018.5,1,7,11,15.9,No
24/07/2013,Sydney,10.1,17,0,4,4.8,48,17,20,54,1026.6,1026.4,1,6,12.3,16.6,No
25/07/2013,Sydney,7.4,19.6,0,3,8.6,33,20,9,55,1029.8,1026.6,1,3,8.8,17.9,No
26/07/2013,Sydney,7.9,20.3,0,3.4,9.3,22,15,7,54,1025.9,1023.3,5,1,9.2,19.5,No
27/07/2013,Sydney,7.4,18.7,0,1.8,9.9,28,22,15,59,1031,1028.2,1,1,9.4,17.8,No
28/07/2013,Sydney,8.3,18.8,0,3.6,6.8,26,7,17,74,1029.8,1025.8,6,6,9.7,18.1,No
29/07/2013,Sydney,9.7,24,0,2.6,10.2,37,22,11,44,1025.2,1020.8,6,1,17.6,23.3,No
30/07/2013,Sydney,11.1,21.5,0,3.4,3.4,48,13,6,61,1019.9,1017.8,6,5,12.8,19.7,No
31/07/2013,Sydney,12.6,18.4,5.6,2.6,8.1,43,20,22,72,1023.9,1022.7,7,4,13.9,17,Yes
1/08/2013,Sydney,8.1,19.6,0,3.4,10.1,30,24,15,63,1023.3,1020.1,2,3,11,17.5,No
2/08/2013,Sydney,9.1,20.3,0,2.2,6.8,31,15,19,57,1018,1012.7,7,3,10.9,19.7,No
3/08/2013,Sydney,10.4,19.6,0,3.6,10,37,7,4,40,1016,1012.1,4,1,13.5,19.2,No
4/08/2013,Sydney,10.9,19.9,0,4.2,8.5,44,9,24,42,1013.6,1012.2,6,5,14,18,No
5/08/2013,Sydney,9.5,21,0,3.8,10,50,11,15,43,1017.6,1013.6,1,2,13.1,20.4,No
6/08/2013,Sydney,11.9,23.9,0,5.6,8.7,52,20,17,39,1011.9,1008,5,5,16.4,22.1,No
7/08/2013,Sydney,10.8,17.9,0.8,4.8,8.3,35,17,15,53,1013.6,1009.3,2,7,13,16,No
8/08/2013,Sydney,9.3,13.1,9.6,3.8,1.3,57,24,24,80,1008.3,1009.8,7,7,9.3,12.6,Yes
9/08/2013,Sydney,7,17.4,4.2,0.6,6.7,35,20,9,52,1018.9,1014,4,7,11.2,17.1,Yes
10/08/2013,Sydney,10.5,23.5,0,4,10.6,31,11,11,40,1016,1013.4,0,1,13.4,23.5,No
11/08/2013,Sydney,9,21.8,0,3.8,10.4,31,13,11,50,1018.2,1013.5,1,1,12.7,19.2,No
12/08/2013,Sydney,12,24.4,0.2,3.8,5.4,94,9,48,40,1005.8,1004.2,3,7,19.6,18.9,No
13/08/2013,Sydney,9.6,22.8,0,5.8,10.8,35,13,9,30,1013.7,1012.2,1,1,14.5,22.2,No
14/08/2013,Sydney,12.5,24.1,0,4.2,10.7,39,24,17,31,1013.6,1007.7,2,1,15.9,23.9,No
15/08/2013,Sydney,10.5,18.7,0,8,10.7,57,24,19,36,1019,1019.8,1,1,12.3,17.7,No
16/08/2013,Sydney,7.3,20.6,0,3.6,10.7,41,17,26,49,1023.7,1016.9,0,0,10.8,19.1,No
17/08/2013,Sydney,10.7,24.4,0,6.2,10.5,57,20,26,38,1010.1,1006.7,1,4,17.6,22.6,No
18/08/2013,Sydney,11.3,23.3,0,6.6,10.7,39,15,20,33,1016.9,1011.9,0,1,16.2,22.8,No
19/08/2013,Sydney,13.6,20.9,0,7.8,9.9,59,7,39,29,1009.7,1007,2,5,17,19.8,No
20/08/2013,Sydney,8.4,16.6,0,6.2,10.8,56,26,22,35,1013.7,1011.9,1,1,10.7,15.4,No
21/08/2013,Sydney,7.6,18.1,0,3,10.3,50,20,20,40,1016.3,1013.4,2,3,11.3,17.5,No
22/08/2013,Sydney,7.6,18.1,0,5.6,6.7,50,19,24,40,1013.8,1010.2,7,7,12.5,17.7,No
23/08/2013,Sydney,11.8,18.6,0,4,2.5,56,20,28,46,1010.2,1008.5,7,7,14.8,17.4,No
24/08/2013,Sydney,12.2,22.7,0,4,10.8,35,26,19,47,1020.1,1020,2,4,15.9,21.8,No
25/08/2013,Sydney,9.9,23.6,0,4.2,10.7,35,17,17,63,1024,1020.4,1,1,12.7,19.6,No
26/08/2013,Sydney,10.3,22,0,3.6,9.6,33,20,11,42,1024.6,1020.4,3,6,14.2,21.6,No
27/08/2013,Sydney,11.5,21.9,0,2.2,9.4,24,NA,15,59,1022,1018.6,4,2,15.4,19.9,No
28/08/2013,Sydney,11.8,23.3,0,3,10.8,39,20,24,55,1021.5,1020.2,1,2,14.9,22.1,No
29/08/2013,Sydney,11.4,21.8,0,3.8,6.7,56,17,17,64,1024.4,1019.4,6,7,15.3,20,No
30/08/2013,Sydney,15.2,24.7,0,5.2,10.2,39,22,6,50,1015.1,1011.4,1,1,21.7,23.5,No
31/08/2013,Sydney,14.9,24.5,0,5.8,8.2,30,22,11,47,1021.5,1020,7,4,15.9,23.6,No
1/09/2013,Sydney,11.4,22.2,0,4.8,10.1,26,17,20,60,1028.5,1026.6,1,1,15.8,20.6,No
2/09/2013,Sydney,12.2,22,0,4,11,28,19,17,56,1031.2,1029.1,6,2,15.9,21.4,No
3/09/2013,Sydney,12,21.9,0,4.2,10.4,31,11,20,61,1034,1031.3,1,1,16.4,21.2,No
4/09/2013,Sydney,12.2,21.1,0,3.8,10.1,41,13,20,64,1033.6,1028.7,1,1,15.7,20.7,No
5/09/2013,Sydney,12.2,28.8,0,5.8,10.1,28,13,11,46,1027.3,1023,1,5,17.7,28.5,No
6/09/2013,Sydney,16,23.3,0,5,8.5,24,13,15,72,1026.9,1023.1,7,7,20.5,21.2,No
7/09/2013,Sydney,15.4,31.1,0,3.2,9.1,39,13,15,49,1022.4,1018.1,5,4,19.2,29.9,No
8/09/2013,Sydney,17,21.2,0,4.6,1.7,41,13,13,76,1026.2,1023,7,7,17.5,18.7,No
9/09/2013,Sydney,15.3,26.1,0,2.2,5.1,33,9,11,70,1021,1014,2,7,21.1,22.5,No
10/09/2013,Sydney,20.1,31.6,0,7.4,9.7,74,33,31,19,1005.5,1000.4,2,4,25.9,30.6,No
