Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity_Avg,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,RainToday
26/06/2013,SydneyAirport,11.1,19.6,9.2,1.4,4.3,61,46,30,81,1019.9,1020.2,7,7,Yes
27/06/2013,SydneyAirport,13.7,19.5,3.6,3.4,2.4,37,17,19,70,1022.7,1020.7,7,7,Yes
28/06/2013,SydneyAirport,13,16.5,26.2,2.8,0,33,7,11,87,1023.6,1022.5,7,7,Yes
29/06/2013,SydneyAirport,12.8,15.6,27.2,3.2,0,31,9,24,83,1024.9,1022.9,8,8,Yes
30/06/2013,SydneyAirport,11.8,15.7,59.2,2,2.2,48,15,13,91,1025.8,1023.5,7,5,Yes
1/07/2013,SydneyAirport,8.7,18.7,6.8,0.8,9.8,20,9,11,64,1024.2,1021.7,1,1,Yes
2/07/2013,SydneyAirport,8.7,20.1,0,2.2,9.8,26,15,11,51,1024.6,1020.7,1,2,No
3/07/2013,SydneyAirport,8.1,19.7,0,2.2,9.5,26,19,13,58,1024.2,1020.6,1,0,No
4/07/2013,SydneyAirport,7.2,24.2,0,2.6,9.8,41,9,22,45,1016.1,1011.2,0,1,No
5/07/2013,SydneyAirport,12.8,20.8,0,4,9.7,56,24,35,28,1010.7,1010.7,1,1,No
6/07/2013,SydneyAirport,7.4,18.5,0,4.2,9.8,37,19,17,32,1019.9,1018,0,0,No
7/07/2013,SydneyAirport,5.2,19.1,0,4,9.5,33,13,17,44,1026.9,1025.5,1,1,No
8/07/2013,SydneyAirport,6.5,18.6,0,2.2,9.1,46,13,24,53,1031.7,1029.9,0,3,No
9/07/2013,SydneyAirport,9.3,13.7,2.2,3,1,48,13,15,81,1035.2,1033.8,5,7,Yes
10/07/2013,SydneyAirport,8.9,15.6,9.4,1.2,2.7,30,9,17,76,1033.5,1031.6,7,6,Yes
11/07/2013,SydneyAirport,8,17.3,0,1.2,8.2,26,13,13,68,1035.2,1032.2,2,5,No
12/07/2013,SydneyAirport,8.2,20.8,0,1.2,8.4,30,17,9,59,1031.1,1026.9,1,1,No
13/07/2013,SydneyAirport,7.9,17.8,0,3,5,19,11,6,68,1029.2,1027.3,7,6,No
14/07/2013,SydneyAirport,8.3,19.4,0,1,8.5,28,11,19,62,1028.4,1025.2,4,8,No
15/07/2013,SydneyAirport,12.3,21.5,0.4,3.6,1.7,28,11,15,62,1024.5,1021.7,7,7,No
16/07/2013,SydneyAirport,13.8,21.6,0.6,0.2,3.4,30,11,13,75,1024.6,1021.9,7,4,No
17/07/2013,SydneyAirport,12.7,22.4,1.2,1.8,8.7,26,4,11,64,1023.7,1020.4,4,3,Yes
18/07/2013,SydneyAirport,12.8,23.3,0,2.4,3.9,35,11,20,71,1022.8,1019,7,7,No
19/07/2013,SydneyAirport,14.7,22.3,0,3.2,1.6,52,19,26,60,1015.3,1011.4,4,7,No
20/07/2013,SydneyAirport,12.9,22,1.2,2.4,8.9,65,19,28,42,1009.2,1005,2,2,Yes
21/07/2013,SydneyAirport,8.5,17.1,0.2,6.4,10.1,54,28,35,27,1015.7,1013,1,1,No
22/07/2013,SydneyAirport,6.8,18.5,0,3.8,9.9,54,9,30,34,1019.6,1016.2,2,2,No
23/07/2013,SydneyAirport,7.1,17.5,0,3.2,8,48,20,17,46,1019.9,1018.5,1,7,No
24/07/2013,SydneyAirport,10.4,16.1,0,4,4.8,59,33,28,55,1026.3,1026.4,1,6,No
25/07/2013,SydneyAirport,7.1,19.3,0,3,8.6,26,13,11,41,1029.7,1026.5,1,3,No
26/07/2013,SydneyAirport,7.8,20.9,0,3.4,9.3,35,17,13,45,1025.7,1023.1,5,1,No
27/07/2013,SydneyAirport,6.9,19.8,0,1.8,9.9,30,17,19,50,1030.8,1028,1,1,No
28/07/2013,SydneyAirport,7.9,20.1,0,3.6,6.8,35,9,17,59,1029.8,1025.5,6,6,No
29/07/2013,SydneyAirport,10.2,23.5,0,2.6,10.2,33,13,15,45,1025.1,1020.6,6,1,No
30/07/2013,SydneyAirport,10.8,20.1,0,3.4,3.4,57,13,11,53,1019.6,1017.8,6,5,No
31/07/2013,SydneyAirport,12.6,16,10.4,2.6,8.1,52,31,31,77,1023.8,1022.6,7,4,Yes
1/08/2013,SydneyAirport,7.9,17.6,0,3.4,10.1,35,17,15,57,1023.2,1020.1,2,3,No
2/08/2013,SydneyAirport,8.6,21.3,0,2.2,6.8,37,15,24,49,1018.1,1012.6,7,3,No
3/08/2013,SydneyAirport,11.3,19.5,0,3.6,10,46,15,11,36,1016,1012.1,4,1,No
4/08/2013,SydneyAirport,11,19.8,0,4.2,8.5,63,15,31,36,1013.7,1012.4,6,5,No
5/08/2013,SydneyAirport,8.9,21.5,0,3.8,10,52,17,22,34,1017.4,1013.5,1,2,No
6/08/2013,SydneyAirport,11.5,24.5,0,5.6,8.7,61,30,43,29,1011.7,1007.9,5,5,No
7/08/2013,SydneyAirport,10.6,17.3,0.6,4.8,8.3,41,31,17,48,1013.6,1009.3,2,7,No
8/08/2013,SydneyAirport,9.7,13.3,10,3.8,1.3,65,19,48,87,1008.4,1009.9,7,7,Yes
9/08/2013,SydneyAirport,7.7,19,5,0.6,6.7,31,17,15,43,1018.8,1013.9,4,7,Yes
10/08/2013,SydneyAirport,10.7,23.8,0,4,10.6,39,11,17,33,1015.9,1013.2,0,1,No
11/08/2013,SydneyAirport,8.8,22.3,0,3.8,10.4,33,17,13,35,1018.1,1013.4,1,1,No
12/08/2013,SydneyAirport,11,26.6,0,3.8,5.4,94,13,48,36,1005.8,1004.1,3,7,No
13/08/2013,SydneyAirport,8.3,22.6,0,5.8,10.8,43,17,11,23,1013.5,1012.1,1,1,No
14/08/2013,SydneyAirport,11.6,24.7,0,4.2,10.7,56,24,35,22,1013.3,1007.4,2,1,No
15/08/2013,SydneyAirport,10.2,16.6,0,8,10.7,56,33,24,37,1018.9,1019.7,1,1,No
16/08/2013,SydneyAirport,7.2,21.7,0,3.6,10.7,48,17,33,40,1023.7,1016.6,0,0,No
17/08/2013,SydneyAirport,12,25.5,0,6.2,10.5,59,24,33,29,1009.7,1006.7,1,4,No
18/08/2013,SydneyAirport,8.8,23.5,0,6.6,10.7,46,26,26,25,1016.6,1011.5,0,1,No
19/08/2013,SydneyAirport,12.8,22.2,0,7.8,9.9,72,13,37,21,1009.4,1007,2,5,No
20/08/2013,SydneyAirport,7.4,16.8,0,6.2,10.8,57,31,37,31,1013.7,1012.2,1,1,No
21/08/2013,SydneyAirport,6.8,18,0,3,10.3,52,20,24,38,1016.3,1013.5,2,3,No
22/08/2013,SydneyAirport,6.6,19.4,0,5.6,6.7,52,17,31,33,1013.8,1010,7,7,No
23/08/2013,SydneyAirport,10.8,19.9,0,4,2.5,56,24,39,36,1009.9,1008.7,7,7,No
24/08/2013,SydneyAirport,13.2,20.2,0,4,10.8,46,31,22,47,1019.8,1020.1,2,4,No
25/08/2013,SydneyAirport,9.9,23,0,4.2,10.7,30,13,19,48,1024,1020,1,1,No
26/08/2013,SydneyAirport,12,22.1,0,3.6,9.6,35,19,9,49,1024.5,1020.3,3,6,No
27/08/2013,SydneyAirport,12.1,19.8,0,2.2,9.4,31,15,17,62,1021.8,1018.6,4,2,No
28/08/2013,SydneyAirport,11.7,20.8,0,3,10.8,39,15,22,56,1021.3,1020.3,1,2,No
29/08/2013,SydneyAirport,11.5,22.8,0,3.8,6.7,59,6,28,60,1024.3,1019.3,6,7,No
30/08/2013,SydneyAirport,15.3,27.4,0,5.2,10.2,43,28,20,42,1014.6,1011,1,1,No
31/08/2013,SydneyAirport,14.9,23.3,0,5.8,8.2,33,13,20,47,1021.3,1020.1,7,4,No
1/09/2013,SydneyAirport,11.3,23.9,0,4.8,10.1,35,15,26,44,1028.5,1026.4,1,1,No
2/09/2013,SydneyAirport,12.2,24.4,0,4,11,30,13,19,48,1031.2,1028.9,6,2,No
3/09/2013,SydneyAirport,11.9,23.6,0,4.2,10.4,33,11,24,51,1034,1031.2,1,1,No
4/09/2013,SydneyAirport,12.9,23.7,0,3.8,10.1,50,9,37,47,1033.5,1028.4,1,1,No
5/09/2013,SydneyAirport,12.3,29.9,0,5.8,10.1,28,13,15,42,1027.3,1022.8,1,5,No
6/09/2013,SydneyAirport,16.6,22.6,0,5,8.5,37,26,17,74,1027.1,1023.1,7,7,No
7/09/2013,SydneyAirport,15.8,32.4,0,3.2,9.1,50,17,26,63,1022.3,1017.9,5,4,No
8/09/2013,SydneyAirport,16.9,21.9,0,4.6,1.7,48,17,19,79,1026.2,1023.1,7,7,No
9/09/2013,SydneyAirport,15.9,26.8,0,2.2,5.1,33,22,24,64,1020.7,1013.7,2,7,No
10/09/2013,SydneyAirport,20,33.6,0,7.4,9.7,76,43,57,18,1004.8,1000.3,2,4,No
11/09/2013,SydneyAirport,12.8,25.8,0,11.6,6.8,56,31,7,28,1011.9,1008.7,5,3,No
12/09/2013,SydneyAirport,11.4,24.7,0,6.4,10.2,80,17,28,28,1015.4,1010.3,1,4,No
13/09/2013,SydneyAirport,9.4,18.9,0,5.6,6.1,41,28,20,55,1021.9,1018,7,7,No
14/09/2013,SydneyAirport,14.1,21.2,6.2,3.4,8.4,54,19,39,71,1011.1,1009.4,5,3,Yes
15/09/2013,SydneyAirport,12.5,19.8,0.8,4,6.2,30,13,17,70,1018.4,1016.3,7,5,No
16/09/2013,SydneyAirport,15.1,18.1,0.2,2.2,0,83,13,33,85,1016.1,1010.2,8,8,No
17/09/2013,SydneyAirport,15.4,24.4,62.2,NA,5.7,72,26,33,52,1000.5,997.9,6,5,Yes
18/09/2013,SydneyAirport,15.6,26.1,0.4,6.8,10.7,52,28,30,32,1001.8,999.9,6,1,No
19/09/2013,SydneyAirport,14.1,24.7,0,7.6,11.2,54,9,43,26,1005.7,1003,0,1,No
20/09/2013,SydneyAirport,12.2,22.6,0,6.2,10.3,72,19,50,28,1007.9,1006.8,2,6,No
21/09/2013,SydneyAirport,10.6,20.4,0,7,11,39,24,19,42,1014.9,1012.3,1,2,No
22/09/2013,SydneyAirport,10.9,24.2,0,4.6,10.5,31,13,22,46,1014.9,1011.3,1,2,No
23/09/2013,SydneyAirport,13.5,25.3,0,5.4,10.9,30,9,17,42,1012,1007.1,1,1,No
24/09/2013,SydneyAirport,17,30.4,0,7.4,5.3,46,11,11,26,1003.9,1000.2,7,5,No
25/09/2013,SydneyAirport,14.9,30.7,0,6.4,10.7,50,15,35,31,1009.6,1005.5,0,1,No
26/09/2013,SydneyAirport,15.7,32.9,0,8.4,11.4,87,28,41,18,1002.4,1005.8,0,0,No
27/09/2013,SydneyAirport,14,21.7,0,12.2,11.4,41,17,22,31,1019.9,1016.5,0,0,No
28/09/2013,SydneyAirport,11.5,30.4,0,8,11.5,70,13,44,20,1010.9,1005.3,1,1,No
